FID,Id,gridcode,Name,label,train,year,00.b01,01.b01,02.b01,03.b01,04.b01,05.b01,06.b01,07.b01,08.b01,09.b01,00.b02,01.b02,02.b02,03.b02,04.b02,05.b02,06.b02,07.b02,08.b02,09.b02,00.b03,01.b03,02.b03,03.b03,04.b03,05.b03,06.b03,07.b03,08.b03,09.b03,00.b04,01.b04,02.b04,03.b04,04.b04,05.b04,06.b04,07.b04,08.b04,09.b04,00.b05,01.b05,02.b05,03.b05,04.b05,05.b05,06.b05,07.b05,08.b05,09.b05,00.b06,01.b06,02.b06,03.b06,04.b06,05.b06,06.b06,07.b06,08.b06,09.b06,00.b07,01.b07,02.b07,03.b07,04.b07,05.b07,06.b07,07.b07,08.b07,09.b07,00.b08,01.b08,02.b08,03.b08,04.b08,05.b08,06.b08,07.b08,08.b08,09.b08,00.b11,01.b11,02.b11,03.b11,04.b11,05.b11,06.b11,07.b11,08.b11,09.b11,00.b12,01.b12,02.b12,03.b12,04.b12,05.b12,06.b12,07.b12,08.b12,09.b12
0,1,0, ,0,task,2023,656,752,624,768,832,592,752,688,784,784,992,1056,928,1088,992,928,992,928,1080,1056,1632,1696,1632,1760,1768,1760,1824,1632,1664,1760,2784,2848,2784,3040,3040,3296,2784,2528,2784,2912,3552,3552,3552,3712,3784,4064,3680,3424,3392,3504,3872,3824,3808,3960,3920,4192,4176,3744,3712,3744,4064,4000,3920,4160,4096,4448,4448,3872,3896,4000,4048,4112,4064,4128,3936,4192,4256,3744,3936,4064,5200,5280,5392,5584,5496,5728,5408,5088,5184,5216,4384,4320,4448,4768,4472,4944,4624,4256,4360,4304
1,2,1, ,0,task,2023,656,752,624,768,832,592,752,688,784,784,1056,1120,928,1120,1056,992,1056,992,1112,1056,1760,1808,1696,1856,1848,1824,1824,1696,1728,1760,3232,3104,3168,3264,3232,3424,3168,2976,2912,3104,3552,3552,3552,3712,3784,4064,3680,3424,3392,3504,3872,3824,3808,3960,3920,4192,4176,3744,3712,3744,4064,4000,3920,4160,4096,4448,4448,3872,3896,4000,4256,4128,4192,4160,3936,4256,4128,3808,4000,4128,5200,5280,5392,5584,5496,5728,5408,5088,5184,5216,4384,4320,4448,4768,4472,4944,4624,4256,4360,4304
2,3,2, ,0,task,2023,656,752,624,768,832,592,752,688,784,784,1120,1120,1056,1184,1152,1120,1184,1056,1144,1120,1888,1840,1824,1952,1960,2016,1952,1760,1824,1888,3360,3232,3360,3456,3392,3744,3424,3104,3104,3296,3552,3600,3632,3680,3688,4000,3680,3424,3424,3504,3872,3856,3808,3928,3888,4192,3952,3744,3712,3808,4000,4000,4000,4192,4000,4384,4320,3936,3880,3936,4208,4128,4064,4096,3840,4192,3936,3744,3968,4192,5216,5280,5344,5520,5400,5536,5344,5088,5088,5216,4512,4320,4384,4736,4376,4784,4496,4128,4264,4336
3,4,3, ,0,task,2023,656,752,624,768,832,592,752,688,784,784,928,1056,928,1056,1056,928,992,928,1064,992,1632,1744,1632,1792,1800,1824,1824,1568,1632,1696,2784,2976,2912,3104,3104,3232,3040,2784,2880,2976,3552,3600,3632,3680,3688,4000,3680,3424,3424,3504,3872,3856,3808,3928,3888,4192,3952,3744,3712,3808,4000,4000,4000,4192,4000,4384,4320,3936,3880,3936,4128,3936,4000,4032,3840,4128,3936,3808,3968,4064,5216,5280,5344,5520,5400,5536,5344,5088,5088,5216,4512,4320,4384,4736,4376,4784,4496,4128,4264,4336
4,5,4, ,0,task,2023,656,752,656,784,832,624,752,720,800,816,928,1056,800,1024,992,928,928,928,1016,928,1568,1696,1504,1632,1768,1632,1696,1568,1632,1632,2848,2976,2976,2944,3072,3040,2848,2848,2720,2912,3488,3424,3424,3616,3624,3872,3488,3296,3264,3440,3744,3760,3808,3976,3904,4128,4048,3680,3712,3808,4000,3936,3920,4192,4096,4384,4320,3872,3864,4064,4304,4128,4128,4128,3968,4192,4128,3936,4128,4256,5104,5216,5344,5600,5416,5600,5280,4976,5024,5152,4384,4256,4384,4800,4392,4752,4528,4128,4216,4272
5,6,5, ,0,task,2023,656,752,656,784,832,624,752,720,800,816,992,1056,928,1088,1024,992,1056,928,1064,1120,1696,1744,1632,1824,1816,1824,1824,1632,1728,1824,3104,3104,3104,3296,3264,3488,3104,2976,2912,3168,3488,3424,3424,3616,3624,3872,3488,3296,3264,3440,3744,3760,3808,3976,3904,4128,4048,3680,3712,3808,4000,3936,3920,4192,4096,4384,4320,3872,3864,4064,4256,4208,4256,4256,3968,4320,4256,4000,4064,4320,5104,5216,5344,5600,5416,5600,5280,4976,5024,5152,4384,4256,4384,4800,4392,4752,4528,4128,4216,4272
6,7,6, ,0,task,2023,656,752,656,784,832,624,752,720,800,816,928,1056,928,1024,992,864,992,864,1096,1056,1696,1744,1568,1824,1816,1760,1760,1632,1728,1824,3168,3104,3104,3392,3264,3552,3104,2848,3008,3232,3936,3872,3872,4160,4040,4192,3936,3744,3712,3872,4272,4144,4192,4328,4160,4384,4240,4128,3968,4192,4384,4320,4368,4480,4288,4576,4512,4192,4184,4256,4192,4240,4320,4352,4064,4384,4256,4064,4064,4320,5600,5600,5728,5968,5704,5984,5728,5408,5408,5600,5024,4720,4896,5280,4760,5264,5072,4576,4728,4704
7,8,7, ,0,task,2023,656,752,656,784,832,624,752,720,800,816,992,1120,928,1120,1056,928,1056,992,1080,1056,1824,1952,1696,1952,1912,1888,1952,1760,1856,1888,3488,3488,3552,3744,3552,3808,3488,3360,3328,3424,3936,3872,3872,4160,4040,4192,3936,3744,3712,3872,4272,4144,4192,4328,4160,4384,4240,4128,3968,4192,4384,4320,4368,4480,4288,4576,4512,4192,4184,4256,4592,4512,4576,4512,4192,4448,4320,4320,4352,4576,5600,5600,5728,5968,5704,5984,5728,5408,5408,5600,5024,4720,4896,5280,4760,5264,5072,4576,4728,4704
8,9,8, ,0,task,2023,656,752,656,784,832,624,752,720,800,816,992,1120,992,1152,1056,992,1120,992,1128,1056,1888,1888,1760,1984,1944,1952,1952,1760,1824,1888,3552,3424,3552,3712,3520,3744,3424,3232,3264,3296,4064,4000,4048,4224,4072,4384,4064,3808,3744,3872,4304,4240,4320,4376,4240,4512,4272,4192,4096,4128,4448,4384,4384,4576,4320,4704,4512,4256,4216,4320,4528,4496,4448,4480,4128,4448,4192,4128,4288,4384,5728,5728,5856,6048,5784,6048,5856,5472,5440,5600,5152,4880,4960,5376,4840,5360,5136,4576,4760,4704
9,10,9, ,0,task,2023,656,752,656,784,832,624,752,720,800,816,1120,1120,1056,1184,1120,1120,1120,1056,1192,1120,1888,1952,1760,1984,1976,2016,1952,1888,1888,1952,3552,3424,3616,3680,3584,3872,3552,3424,3328,3424,4064,4000,4048,4224,4072,4384,4064,3808,3744,3872,4304,4240,4320,4376,4240,4512,4272,4192,4096,4128,4448,4384,4384,4576,4320,4704,4512,4256,4216,4320,4496,4384,4448,4416,4064,4448,4128,4064,4288,4384,5728,5728,5856,6048,5784,6048,5856,5472,5440,5600,5152,4880,4960,5376,4840,5360,5136,4576,4760,4704
